Region and Local Authority,ONS Code,Underweight_number,Underweight_percent,"Lower
CI","Upper 
CI",Healthyweight_number,Healthyweight_percent,"Lower
CI","Upper 
CI",Overweight_number,Overweight_percent,"Lower
CI","Upper 
CI",Obese_number,Obese_percent,"Lower
CI","Upper 
CI",Severely obese_number,Severely obese_percent,"Lower
CI","Upper 
CI",overandobese_number,overandobese_percent,"Lower
CI","Upper 
CI",Total number of children
Arun,E07000224,18,1.244813278,0.788840589,1.959146688,977,67.56569848,65.10906148,69.92925232,199,13.76210235,12.08223167,15.63400285,252,17.42738589,15.55914399,19.46823474,43.00,2.97,2.22,3.98,451.00,31.19,28.85,33.62,1446.00
Chichester,E07000225,10,1,0.544075445,1.830946887,729,72.9,70.06140644,75.56332803,134,13.4,11.4281076,15.65201112,127,12.7,10.77800093,14.90747526,18.00,1.80,1.14,2.83,261.00,26.10,23.47,28.91,1000.00
Crawley,E07000226,22,1.652892562,1.094050634,2.490004874,896,67.31780616,64.75122458,69.78471203,192,14.42524418,12.64003377,16.41521142,221,16.6040571,14.70161275,18.69871775,39.00,2.93,2.15,3.98,413.00,31.03,28.60,33.57,1331.00
Horsham,E07000227,23,1.801096319,1.20312581,2.688180056,943,73.8449491,71.36557969,76.18128849,177,13.86061081,12.07358646,15.86441136,134,10.49334377,8.929294049,12.2943677,20.00,1.57,1.02,2.41,311.00,24.35,22.08,26.78,1277.00
Mid Sussex,E07000228,20,1.336005344,0.866507538,2.054617712,1097,73.27989312,70.98083365,75.4597811,193,12.89245157,11.28935521,14.68550419,187,12.49164997,10.91221165,14.26309628,31.00,2.07,1.46,2.92,380.00,25.38,23.24,27.65,1497.00
Worthing,E07000229,9,0.78878177,0.415529767,1.492285385,764,66.95880806,64.17668201,69.62712523,171,14.98685364,13.03336926,17.17530777,197,17.26555653,15.18332356,19.5674671,35.00,3.07,2.21,4.24,368.00,32.25,29.60,35.02,1141.00
Windsor and Maidenhead,E06000040,21,1.417004049,0.928659573,2.156559146,1063,71.72739541,69.38078706,73.96165679,174,11.74089069,10.20003188,13.47957786,224,15.11470985,13.38138433,17.02841855,44.00,2.97,2.22,3.96,398.00,26.86,24.66,29.17,1482.00
Wokingham,E06000041,24,1.238390093,0.833598155,1.836107891,1413,72.91021672,70.88768675,74.84210215,229,11.81630547,10.45411553,13.32956962,272,14.03508772,12.55966606,15.65280496,37.00,1.91,1.39,2.62,501.00,25.85,23.95,27.85,1938.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH WEST ,E12000009,624,1.1776918,1.089308798,1.273153608,36530,68.94404077,68.54868271,69.33665211,7078,13.35849769,13.07147575,13.65083232,8753,16.51976975,16.20599646,16.83839737,1674.00,3.16,3.01,3.31,15831.00,29.88,29.49,30.27,52985.00
Bath and North East Somerset,E06000022,20,1.209189843,0.784118531,1.860371905,1211,73.21644498,71.03032471,75.29497352,200,12.09189843,10.60786403,13.75160995,223,13.48246675,11.92086344,15.21330288,39.00,2.36,1.73,3.21,423.00,25.57,23.53,27.73,1654.00
Bournemouth,E06000028,9,0.516647532,0.27204815,0.979008108,1192,68.42709529,66.2058685,70.56723004,244,14.00688863,12.45618341,15.71598861,297,17.04936854,15.35633697,18.88740583,63.00,3.62,2.84,4.60,541.00,31.06,28.93,33.27,1742.00
"Bristol, City of",E06000023,64,1.410934744,1.106514232,1.797584072,3044,67.10758377,65.72636826,68.45984759,593,13.07319224,12.12333274,14.08554415,835,18.40828924,17.30735752,19.56268462,193.00,4.25,3.71,4.88,1428.00,31.48,30.15,32.85,4536.00
Cornwall2,E06000052,53,1.039011958,0.795263363,1.356448099,3537,69.33934523,68.05986272,70.58972152,717,14.05606744,13.12928527,15.03694615,794,15.56557538,14.5966627,16.58631275,152.00,2.98,2.55,3.48,1511.00,29.62,28.38,30.89,5101.00
Devon,E10000008,84,1.315171442,1.063597143,1.625273485,4576,71.64552998,70.52741171,72.73762651,824,12.90120557,12.10135704,13.7456534,903,14.138093,13.30516703,15.01413131,137.00,2.14,1.82,2.53,1727.00,27.04,25.96,28.14,6387.00
East Devon,E07000040,13,1.166965889,0.683236639,1.986324289,821,73.6983842,71.03471859,76.19917096,138,12.38779174,10.58148102,14.45261095,142,12.74685817,10.91567636,14.83408059,17.00,1.53,0.95,2.43,280.00,25.13,22.68,27.76,1114.00
Exeter,E07000041,13,1.204819277,0.705440323,2.050407136,774,71.73308619,68.9728425,74.33913048,120,11.12140871,9.381664656,13.13700203,172,15.94068582,13.87788921,18.24513822,24.00,2.22,1.50,3.29,292.00,27.06,24.50,29.79,1079.00
Mid Devon,E07000042,14,1.960784314,1.171530322,3.264192696,523,73.24929972,69.88429805,76.36546865,89,12.46498599,10.24110687,15.09059508,88,12.32492997,10.11338967,14.93969922,13.00,1.82,1.07,3.09,177.00,24.79,21.76,28.09,714.00
North Devon,E07000043,11,1.336573512,0.747933825,2.377388272,573,69.62332928,66.39621814,72.66810267,120,14.58080194,12.33423533,17.15647976,119,14.45929526,12.22157567,17.02725508,17.00,2.07,1.29,3.28,239.00,29.04,26.04,32.23,823.00
South Hams,E07000044,7,1.06870229,0.51862389,2.189380985,500,76.33587786,72.93330036,79.431346,73,11.14503817,8.95801133,13.78516259,75,11.45038168,9.233357627,14.11694262,10.00,1.53,0.83,2.79,148.00,22.60,19.56,25.95,655.00
Teignbridge,E07000045,18,1.612903226,1.022640436,2.535136293,768,68.8172043,66.03872395,71.4665851,162,14.51612903,12.57108297,16.70461996,168,15.05376344,13.0757905,17.27149269,29.00,2.60,1.82,3.71,330.00,29.57,26.97,32.31,1116.00
Torridge,E07000046,x,x,x,x,x,x,x,x,74,14.0952381,11.37888117,17.33321322,88,16.76190476,13.81067743,20.19600941,21.00,4.00,2.63,6.04,162.00,30.86,27.06,34.94,525.00
West Devon,E07000047,x,x,x,x,x,x,x,x,48,13.29639889,10.17746005,17.18825084,51,14.12742382,10.91122598,18.09903485,6.00,1.66,0.76,3.58,99.00,27.42,23.08,32.25,361.00
Dorset,E10000009,36,0.935307872,0.676371493,1.292083728,2707,70.32995583,68.86713994,71.75223193,535,13.89971421,12.84276263,15.02865305,571,14.83502208,13.74717578,15.99299056,85.00,2.21,1.79,2.72,1106.00,28.73,27.33,30.18,3849.00
Christchurch,E07000048,7,1.525054466,0.740657201,3.114109584,318,69.28104575,64.91513726,73.32689932,68,14.81481481,11.85729448,18.35639018,66,14.37908497,11.46449209,17.88496575,8.00,1.74,0.89,3.40,134.00,29.19,25.22,33.51,459.00
East Dorset,E07000049,x,x,x,x,x,x,x,x,97,12.125,10.04224666,14.56975321,101,12.625,10.50067219,15.10654881,12.00,1.50,0.86,2.60,198.00,24.75,21.88,27.86,800.00
North Dorset,E07000050,9,1.404056162,0.740404854,2.646700383,461,71.91887676,68.3172757,75.25932692,78,12.16848674,9.860534612,14.92717974,93,14.50858034,11.99351297,17.44650771,19.00,2.96,1.91,4.58,171.00,26.68,23.40,30.23,641.00
Purbeck,E07000051,6,1.357466063,0.623584182,2.929575469,312,70.58823529,66.17766792,74.64401799,51,11.53846154,8.885819292,14.85388834,73,16.5158371,13.3455365,20.26315015,6.00,1.36,0.62,2.93,124.00,28.05,24.07,32.42,442.00
West Dorset,E07000052,6,0.667408231,0.306227614,1.448394824,621,69.07675195,65.9797438,72.01142249,129,14.34927697,12.20916812,16.79276309,143,15.90656285,13.66154262,18.44170829,20.00,2.22,1.44,3.41,272.00,30.26,27.34,33.34,899.00
Weymouth and Portland,E07000053,x,x,x,x,x,x,x,x,112,18.42105263,15.54125693,21.69738643,95,15.625,12.95570268,18.72594556,20.00,3.29,2.14,5.03,207.00,34.05,30.39,37.90,608.00
Gloucestershire,E10000013,84,1.277760876,1.033309253,1.579120066,4393,66.82385154,65.6761337,67.95191912,873,13.27958625,12.48066476,14.12139718,1224,18.61880134,17.6962643,19.57799161,268.00,4.08,3.62,4.58,2097.00,31.90,30.78,33.04,6574.00
Cheltenham,E07000078,18,1.654411765,1.04902101,2.599994009,747,68.65808824,65.84011321,71.34477262,139,12.77573529,10.92230889,14.89109621,184,16.91176471,14.80165809,19.254702,35.00,3.22,2.32,4.44,323.00,29.69,27.05,32.47,1088.00
Cotswold,E07000079,12,1.461632156,0.838060145,2.537310785,602,73.32521315,70.19648419,76.23668135,89,10.84043849,8.893355899,13.15226958,118,14.3727162,12.13881869,16.9384611,22.00,2.68,1.78,4.02,207.00,25.21,22.36,28.29,821.00
Forest of Dean,E07000080,7,0.86526576,0.419754888,1.775194524,549,67.86155748,64.56555839,70.98873044,106,13.1025958,10.95075114,15.603192,147,18.17058096,15.66589622,20.97611503,32.00,3.96,2.82,5.53,253.00,31.27,28.17,34.55,809.00
Gloucester,E07000081,25,1.56641604,1.063234189,2.302190462,982,61.52882206,59.11692178,63.88535748,212,13.28320802,11.70595702,15.03678405,377,23.62155388,21.60255912,25.76722584,86.00,5.39,4.38,6.61,589.00,36.90,34.57,39.30,1596.00
Stroud,E07000082,10,0.793650794,0.431661864,1.454766109,884,70.15873016,67.57409656,72.62081843,178,14.12698413,12.31269012,16.15935092,188,14.92063492,13.06006844,16.99444956,37.00,2.94,2.14,4.02,366.00,29.05,26.61,31.61,1260.00
Tewkesbury,E07000083,12,1.2,0.687764781,2.085726848,629,62.9,59.86190227,65.83936737,149,14.9,12.82743609,17.24120235,210,21,18.58889194,23.63306005,56.00,5.60,4.34,7.20,359.00,35.90,32.99,38.92,1000.00
North Somerset,E06000024,28,1.323877069,0.917526683,1.906727042,1519,71.82033097,69.86482543,73.696716,264,12.4822695,11.14132371,13.95925456,304,14.37352246,12.94294479,15.93328171,51.00,2.41,1.84,3.16,568.00,26.86,25.01,28.79,2115.00
Plymouth,E06000026,20,0.770712909,0.499475696,1.187485957,1746,67.28323699,65.45367404,69.06170576,339,13.06358382,11.82137374,14.41498849,490,18.88246628,17.42307689,20.43384799,83.00,3.20,2.59,3.95,829.00,31.95,30.18,33.77,2595.00
Poole,E06000029,13,0.873069174,0.510933931,1.488036465,1036,69.57689725,67.19211341,71.86092847,202,13.56615178,11.9203303,15.39948028,238,15.9838818,14.21042143,17.93240633,51.00,3.43,2.61,4.48,440.00,29.55,27.29,31.92,1489.00
Somerset,E10000027,68,1.352157487,1.068056549,1.710522112,3375,67.11075761,65.79966218,68.39573249,684,13.60111354,12.6814171,14.57637495,902,17.93597137,16.90022495,19.02066534,179.00,3.56,3.08,4.11,1586.00,31.54,30.27,32.84,5029.00
Mendip,E07000187,x,x,x,x,x,x,x,x,136,13.08950914,11.17387496,15.2770737,174,16.74687199,14.59981581,19.13891368,x,x,x,x,310.00,29.84,27.13,32.69,1039.00
Sedgemoor,E07000188,16,1.308258381,0.806867195,2.114574574,789,64.51349141,61.79027674,67.14581744,163,13.32788226,11.53740515,15.34801321,255,20.85036795,18.66662189,23.21665937,71.00,5.81,4.63,7.26,418.00,34.18,31.57,36.88,1223.00
South Somerset,E07000189,24,1.556420233,1.048117051,2.305490689,1022,66.27756161,63.88004227,68.59418056,217,14.07263294,12.42613499,15.89769191,279,18.09338521,16.25199237,20.0933557,44.00,2.85,2.13,3.81,496.00,32.17,29.88,34.54,1542.00
Taunton Deane,E07000190,14,1.401401401,0.836595892,2.338528006,694,69.46946947,66.54357831,72.24620213,134,13.41341341,11.43966571,15.6674564,157,15.71571572,13.59068,18.10340844,34.00,3.40,2.45,4.72,291.00,29.13,26.40,32.02,999.00
West Somerset,E07000191,x,x,x,x,x,x,x,x,34,15.04424779,10.96985532,20.28710728,37,16.37168142,12.11719727,21.75026042,x,x,x,x,71.00,31.42,25.72,37.74,226.00
South Gloucestershire,E06000025,48,1.603742065,1.211768197,2.119788049,2094,69.96324758,68.2961974,71.57911854,379,12.66288005,11.5191347,13.90234552,472,15.7701303,14.50840089,17.11961386,79.00,2.64,2.12,3.28,851.00,28.43,26.85,30.08,2993.00
Swindon,E06000030,33,1.260504202,0.898952254,1.764880015,1712,65.3934301,63.54981488,67.19193715,379,14.47669977,13.18088412,15.87661118,494,18.86936593,17.41661395,20.41334161,102.00,3.90,3.22,4.71,873.00,33.35,31.57,35.18,2618.00
Torbay,E06000027,11,0.823970037,0.460709445,1.469426394,854,63.97003745,61.35803987,66.50186823,198,14.83146067,13.02592272,16.83881266,272,20.37453184,18.30034804,22.61872084,54.00,4.04,3.11,5.24,470.00,35.21,32.69,37.81,1335.00
Wiltshire,E06000054,53,1.066827697,0.81657694,1.392694207,3534,71.1352657,69.85927895,72.37859242,647,13.02334944,12.11596506,13.98787332,734,14.77455717,13.81504781,15.78849991,138.00,2.78,2.36,3.27,1381.00,27.80,26.57,29.06,4968.00
